iter	Passed	Remaining
411	3895	5560
412	3905	5550
413	3913	5539
414	3923	5530
415	3931	5518
416	3940	5509
417	3950	5499
418	3960	5492
419	3971	5484
420	3979	5473
421	3989	5464
422	3997	5452
423	4007	5444
424	4015	5432
425	4024	5423
426	4033	5412
427	4041	5401
428	4051	5392
429	4061	5383
430	4071	5374
431	4079	5363
432	4089	5354
433	4097	5343
434	4107	5334
435	4116	5325
436	4125	5314
437	4134	5304
438	4142	5293
439	4152	5284
440	4166	5280
441	4177	5273
442	4186	5263
443	4194	5252
444	4204	5243
445	4212	5232
446	4222	5223
447	4232	5214
448	4240	5203
449	4250	5195
450	4259	5184
451	4269	5176
452	4280	5168
453	4289	5158
454	4298	5148
455	4307	5138
456	4317	5129
457	4325	5118
458	4334	5109
459	4347	5103
460	4355	5092
461	4365	5084
462	4375	5074
463	4385	5065
464	4394	5056
465	4403	5046
466	4413	5037
467	4422	5026
468	4431	5017
469	4440	5006
470	4449	4997
471	4459	4988
472	4467	4978
473	4478	4969
474	4488	4960
475	4498	4951
476	4507	4941
477	4515	4931
478	4525	4922
479	4533	4911
480	4542	4901
481	4551	4890
482	4560	4881
483	4568	4870
484	4579	4862
485	4593	4857
486	4602	4848
487	4613	4840
488	4624	4832
489	4632	4822
490	4643	4813
491	4651	4802
492	4661	4794
493	4675	4788
494	4685	4779
495	4697	4772
496	4708	4764
497	4716	4754
498	4726	4744
499	4734	4734
500	4745	4726
501	4755	4717
502	4763	4706
503	4772	4697
504	4781	4686
505	4792	4678
506	4802	4669
507	4810	4658
508	4819	4649
509	4827	4638
510	4837	4628
511	4845	4618
512	4855	4609
513	4863	4598
514	4873	4589
515	4883	4581
516	4892	4570
517	4902	4562
518	4912	4552
519	4922	4543
520	4930	4532
521	4939	4523
522	4949	4514
523	4957	4503
524	4966	4493
525	4974	4482
526	4984	4473
527	4992	4463
528	5005	4456
529	5015	4447
530	5023	4436
531	5033	4427
532	5041	4417
533	5051	4408
534	5059	4397
535	5069	4388
536	5080	4380
537	5088	4369
538	5098	4360
539	5106	4350
540	5118	4343
541	5129	4334
542	5139	4325
543	5149	4316
544	5157	4306
545	5167	4296
546	5177	4287
547	5185	4276
548	5194	4267
