iter	RMSE
317	13311.16594
318	13295.13188
319	13274.48534
320	13256.93401
321	13232.00469
322	13203.96102
323	13196.60012
324	13175.63608
325	13143.44482
326	13131.23992
327	13115.91839
328	13099.64401
329	13086.60749
330	13068.05499
331	13056.33162
332	13036.80356
333	13029.48864
334	13013.57
335	12990.07782
336	12976.5027
337	12958.06446
338	12928.28488
339	12918.72698
340	12882.37617
341	12836.47364
342	12815.82215
343	12794.39416
344	12773.58492
345	12755.51773
346	12728.22433
347	12709.24452
348	12682.16756
349	12662.53517
350	12642.03587
351	12616.07305
352	12607.9582
353	12582.83514
354	12576.97236
355	12556.83814
356	12526.90086
357	12516.73401
358	12512.71036
359	12495.71163
360	12480.43949
361	12451.32405
362	12426.24512
363	12414.48296
364	12390.88696
365	12358.55314
366	12335.38556
367	12313.4006
368	12294.85859
369	12283.24915
370	12265.01621
371	12234.2314
372	12219.67405
373	12186.97649
374	12165.98537
375	12145.2467
376	12123.08523
377	12094.07007
378	12069.62538
379	12042.74737
380	12029.38378
381	12015.4165
382	11998.07559
383	11975.40062
384	11943.55223
385	11926.60697
386	11895.50192
387	11878.2035
388	11862.98167
389	11853.06979
390	11824.77622
391	11807.73851
392	11790.32552
393	11770.24756
394	11751.8047
395	11725.32268
396	11707.41837
397	11689.93998
398	11669.58735
399	11658.18583
400	11633.38714
401	11612.30314
402	11593.22128
403	11573.44964
404	11563.21656
405	11551.06958
406	11543.10187
407	11522.86964
408	11501.76646
409	11498.52871
410	11481.03852
411	11460.86958
412	11447.76738
413	11423.28114
414	11401.62823
415	11383.41767
416	11355.67499
417	11339.60361
418	11334.24454
419	11322.24407
420	11316.7908
421	11305.1497
422	11291.23398
423	11264.15386
424	11256.9337
425	11239.49236
426	11217.43884
427	11210.50606
428	11203.29519
429	11193.63213
430	11177.57324
431	11155.41129
432	11144.54976
433	11119.24977
434	11096.0154
435	11074.58614
436	11052.66962
437	11029.465
438	11009.7792
439	10994.57047
440	10971.97719
441	10957.22169
442	10936.94526
443	10931.03619
444	10914.02133
445	10906.29188
446	10887.06382
447	10872.25321
448	10855.73973
449	10841.69548
450	10832.67291
451	10809.38975
452	10789.58355
453	10776.9672
454	10761.26972
455	10752.88666
456	10736.58399
457	10719.02371
458	10695.79078
459	10673.87568
460	10659.0751
461	10638.22916
462	10623.5528
463	10607.25915
464	10598.57687
465	10577.29347
466	10556.67499
467	10531.92284
468	10521.41508
469	10515.74249
470	10496.57848
471	10475.36643
472	10453.68412
473	10433.54471
474	10418.61321
475	10403.47788
476	10389.86478
477	10370.23509
478	10359.73752
479	10331.97432
480	10319.01691
481	10311.61035
482	10294.03464
483	10282.73376
484	10259.165
485	10247.55008
486	10234.23814
487	10228.83023
488	10217.61681
489	10201.80863
490	10194.43615
491	10183.61341
492	10171.33144
493	10152.70139
494	10134.85368
495	10115.22521
496	10102.20027
497	10086.23758
498	10068.8305
499	10054.77301
500	10043.26128
501	10019.9424
502	10003.20938
503	9996.258018
504	9982.700779
505	9980.651987
506	9974.88049
507	9954.035486
508	9939.200031
509	9919.518767
510	9905.084013
511	9893.277352
512	9879.441779
513	9869.811702
514	9854.507678
515	9847.210764
516	9829.00613
517	9801.732581
518	9779.51611
519	9759.911345
520	9749.946209
521	9738.039322
522	9729.990959
523	9716.27157
524	9706.108414
525	9695.472246
526	9675.365933
527	9660.31561
528	9636.648631
529	9633.613162
530	9621.478367
531	9608.196423
532	9594.137322
533	9571.619733
534	9568.210586
535	9549.802949
536	9540.856953
537	9519.195849
538	9517.674676
539	9506.998704
540	9487.768727
541	9474.291055
542	9457.592442
543	9441.037137
544	9419.430883
545	9400.097547
546	9388.765122
547	9373.151223
548	9355.626261
549	9338.038938
550	9325.254473
551	9314.156341
552	9296.741373
553	9280.808291
554	9268.017729
555	9255.733405
556	9242.282339
557	9229.653066
558	9217.415303
559	9216.199044
560	9198.653209
561	9183.767557
562	9173.830458
563	9161.292901
564	9149.529136
565	9136.035494
566	9122.919341
567	9113.47491
568	9103.645811
569	9090.600434
570	9081.908711
571	9068.947827
572	9058.161608
573	9045.317351
574	9030.071694
575	9020.250455
576	9011.345617
577	8998.990784
578	8989.817822
579	8978.133006
580	8968.981548
581	8967.157429
582	8956.315541
583	8947.727115
584	8926.964557
585	8913.086307
586	8912.046448
587	8908.221841
588	8899.9734
589	8876.698678
590	8866.848169
591	8849.689843
592	8841.888425
593	8840.821613
594	8830.877225
595	8820.645151
596	8813.929424
597	8809.923927
598	8792.009903
599	8776.859353
600	8767.284345
601	8753.205796
602	8751.772613
603	8740.088501
604	8728.394406
605	8712.665423
606	8699.409936
607	8690.967303
608	8678.458165
609	8665.542172
610	8650.097713
611	8640.5208
612	8639.034286
613	8632.637206
614	8613.740303
615	8600.629242
616	8586.665623
617	8577.233525
618	8574.90986
619	8565.030719
620	8555.387577
621	8551.114653
622	8536.840934
623	8529.630908
624	8519.909858
625	8507.455934
626	8490.218336
627	8481.479879
628	8480.382452
629	8465.784714
630	8456.977972
631	8445.822516
632	8436.813495
633	8435.915682
634	8429.062846
635	8421.961645
636	8421.089302
637	8408.463653
638	8398.234717
639	8390.551095
640	8378.043835
641	8368.891314
642	8359.674444
643	8358.908109
644	8354.159329
645	8353.161541
646	8351.976272
647	8351.107202
648	8339.999804
649	8339.085641
650	8325.883602
651	8315.738028
652	8309.384229
653	8301.378054
654	8288.167578
655	8273.259894
656	8265.69559
657	8262.021478
658	8253.120265
659	8244.340542
660	8235.816795
661	8222.092236
662	8212.729695
663	8196.041151
664	8195.139232
665	8187.498871
666	8177.47633
667	8164.605359
668	8162.058695
669	8145.462476
670	8136.973569
671	8135.636539
672	8128.09873
673	8115.429459
674	8107.169289
675	8106.453468
676	8100.984413
677	8096.678208
678	8079.553849
679	8066.682479
680	8056.115584
681	8054.605303
682	8050.943326
683	8035.684151
684	8035.048919
685	8027.208656
686	8024.278784
687	8023.61394
688	8010.187388
689	8002.113157
690	7988.718454
691	7979.594835
692	7975.711329
693	7966.307006
694	7960.325851
695	7944.305545
696	7938.785006
697	7929.185446
698	7920.953807
699	7908.377473
700	7901.537877
701	7883.82183
702	7880.11094
703	7871.956769
704	7859.385683
705	7858.761566
706	7845.60419
707	7839.134578
708	7838.277474
709	7828.675131
710	7813.612457
711	7798.907725
712	7794.064615
713	7783.942338
714	7781.451686
715	7776.414875
716	7761.206778
717	7753.504768
718	7752.575597
719	7741.974329
720	7729.639221
721	7719.304605
722	7718.552689
723	7706.032768
724	7698.315181
725	7689.662558
726	7689.071065
727	7676.075385
728	7670.866381
729	7657.565214
730	7646.527337
731	7638.657846
732	7636.350514
733	7629.416723
734	7622.404456
735	7612.972322
736	7609.482546
737	7605.169843
738	7593.005844
739	7582.252264
740	7576.983733
741	7570.454609
742	7567.382897
743	7563.4582
744	7553.945853
745	7552.913583
746	7538.30933
747	7526.7111
748	7520.499653
749	7507.167634
750	7497.663253
751	7487.13552
752	7476.402988
753	7474.94798
754	7458.847387
755	7444.396407
756	7443.82254
757	7443.263307
758	7433.077176
759	7423.66139
760	7417.944333
761	7415.640664
762	7411.291087
763	7410.715798
764	7396.253593
765	7384.513978
766	7383.618476
767	7372.27288
768	7363.188872
769	7356.696663
770	7345.360548
771	7343.13659
772	7342.414663
773	7334.974932
774	7323.6208
775	7314.726995
776	7302.620889
777	7294.698412
778	7282.734538
779	7274.945224
780	7265.943956
781	7256.146303
782	7247.911687
783	7239.2319
784	7232.562718
785	7230.913361
786	7212.895426
787	7204.999444
788	7196.870524
789	7179.881608
790	7168.396546
791	7162.347587
792	7150.179414
793	7145.94053
794	7133.403062
795	7121.153984
796	7111.274349
797	7102.002181
798	7098.426432
799	7092.002041
800	7083.329227
801	7078.125514
802	7063.736535
803	7055.401312
804	7040.485946
805	7036.543513
806	7023.247326
807	7015.612687
808	7005.449715
809	6994.896721
810	6990.173182
811	6983.013063
812	6978.521448
813	6970.046308
814	6969.434722
815	6959.179946
816	6957.729084
817	6951.196263
818	6936.880179
819	6932.134488
820	6925.206939
821	6923.645846
822	6914.553656
823	6905.962815
824	6894.134223
825	6876.701833
826	6869.758823
827	6851.54724
828	6846.471421
829	6834.799749
830	6828.96579
831	6822.061422
832	6816.500654
833	6805.921577
834	6802.612076
835	6796.184533
836	6794.140052
837	6785.177841
838	6784.052758
839	6776.126873
840	6774.418298
841	6767.537754
842	6759.538767
843	6749.441636
844	6739.860513
845	6738.537163
846	6731.134342
847	6729.231508
848	6722.894506
849	6707.624427
850	6706.805395
851	6695.742589
852	6685.557866
853	6672.947028
854	6665.622713
855	6658.152334
856	6654.427616
857	6646.218327
858	6633.283151
859	6630.269087
860	6627.363451
861	6621.216902
862	6603.857157
863	6593.069158
864	6583.068919
865	6574.915001
866	6560.459603
867	6552.854786
868	6542.277208
869	6536.600861
870	6528.196652
871	6519.240258
872	6511.08204
873	6501.178734
874	6492.486977
875	6485.683327
876	6478.976787
877	6470.419943
878	6469.800209
879	6468.4591
880	6462.5926
881	6454.366486
882	6442.534645
883	6434.462862
884	6427.472015
885	6421.274189
886	6410.889862
887	6402.631426
888	6394.727912
889	6381.119813
890	6377.045124
891	6375.869318
892	6367.117766
893	6361.995823
894	6356.334682
895	6351.025983
896	6340.518422
897	6335.716663
898	6331.731325
899	6328.562349
900	6321.877186
901	6321.289682
902	6314.358698
903	6313.648635
904	6308.60202
905	6300.705608
906	6290.871889
907	6280.720063
908	6273.384258
909	6263.787278
910	6254.158474
911	6253.048116
912	6242.739583
913	6235.70523
914	6234.556777
915	6228.210821
916	6223.051489
917	6219.627663
918	6210.147072
919	6203.510921
920	6191.048106
921	6185.521079
922	6176.635751
923	6166.061282
924	6157.896429
925	6155.761728
926	6147.065172
927	6138.955458
928	6135.734245
929	6131.60325
930	6130.70728
931	6123.678597
932	6114.993649
933	6114.250234
934	6108.102556
935	6103.706661
936	6098.187331
937	6093.565936
938	6087.628645
939	6084.186168
940	6077.197066
941	6073.110249
942	6064.649186
943	6057.535187
944	6056.900975
945	6056.358581
946	6053.536796
947	6046.221566
948	6039.848706
949	6031.189062
950	6026.010675
951	6021.936472
952	6016.72887
953	6009.773494
954	6004.993139
955	5997.201787
956	5989.803688
957	5978.383394
958	5976.186492
959	5972.268945
960	5968.248023
961	5962.507492
962	5960.134939
963	5952.200853
964	5944.903378
965	5939.9206
966	5931.672543
967	5927.437299
968	5922.536208
969	5907.298481
970	5899.958653
971	5891.991864
972	5891.183211
973	5882.502994
974	5876.576188
975	5864.955955
976	5856.982651
977	5853.298494
978	5841.522088
979	5839.615196
980	5836.373197
981	5830.63738
982	5824.464316
983	5817.174263
984	5816.545346
985	5809.701509
986	5808.201801
987	5803.986158
988	5796.828037
989	5795.357619
990	5789.93657
991	5788.602385
992	5788.032025
993	5781.943974
994	5777.190769
995	5773.071047
996	5767.538153
997	5766.208298
998	5760.866834
999	5752.350224
